shapeid,partid,x,y,fid,ScatterPoint
"61",,125.191000379715,32.1487514877743,"62",54
"62",,125.18955639011,32.1497538689079,"63",53
"63",,125.186843652357,32.1497678882244,"64",53
"64",,125.188210535721,32.1486323235836,"65",53
"65",,125.189647515668,32.1477350873243,"66",53
"66",,125.19097935074,32.146739715849,"67",54
"67",,125.191189640489,32.1448190694812,"68",54
"68",,125.191343852971,32.1428283265307,"69",54
"69",,125.189850795758,32.1439428621967,"70",54
"70",,125.188469893077,32.1429404810631,"71",54
"71",,125.187131048346,32.1417908971058,"72",53
"72",,125.187004874498,32.1439568815132,"73",53
"73",,125.188392786836,32.1449452433302,"74",53
"74",,125.189682563959,32.1458354699313,"75",54
"75",,125.188287641962,32.1467327061907,"76",53
"76",,125.186976835864,32.1459616437803,"77",53
"77",,125.186878700649,32.1477561162991,"78",53
"78",,125.185637991134,32.1486813911916,"79",53
"79",,125.184411300935,32.1497608785662,"80",53
"80",,125.184348214011,32.1477771452739,"81",53
"81",,125.185708087716,32.1468448607231,"82",53
"82",,125.18463561,32.1458915471975,"83",53
"83",,125.185904358148,32.144966272305,"84",53
"84",,125.184656638975,32.1440480070708,"85",53
"85",,125.185911367806,32.1429895486711,"86",53
"86",,125.184460368543,32.1419170709548,"87",53
"87",,125.1830479224,32.1487865360657,"88",53
"88",,125.181884319127,32.1497959268575,"89",53
"89",,125.17922765864,32.1498309751489,"90",52
"90",,125.180664638586,32.1487795264075,"91",53
"91",,125.18191235776,32.1478682708315,"92",53
"92",,125.183153067275,32.1467537351655,"93",53
"93",,125.181036150475,32.1467607448238,"94",52
"94",,125.179374861464,32.1477210680077,"95",52
"95",,125.177888813909,32.1486884008499,"96",52
"96",,125.176669133369,32.1497538689079,"97",52
"97",,125.175246172739,32.1487444781161,"98",52
"98",,125.176627075419,32.1477210680077,"99",52
"99",,125.177832736643,32.1469009379894,"100",52
"100",,125.179311774539,32.1460317403631,"101",52
"101",,125.180566503371,32.1450573978626,"102",52
"102",,125.181975444684,32.1457373347154,"103",53
"103",,125.183139047958,32.1449382336719,"104",53
"104",,125.181575894162,32.1441741809198,"105",51
"105",,125.18308998035,32.1431017032035,"106",53
"106",,125.181744125961,32.1420712834368,"107",52
"107",,125.180398271572,32.1431367514949,"108",52
"108",,125.1789823206,32.1441882002364,"109",52
"109",,125.177706562794,32.1450433785461,"110",52
"110",,125.176507911228,32.1459125761724,"111",52
"111",,125.175211124447,32.1468028027735,"112",52
"112",,125.175298745176,32.1450854364957,"113",52
"113",,125.176434309817,32.1442512871608,"114",52
"114",,125.177752125573,32.1433190026101,"115",52
"115",,125.178999844746,32.1421413800196,"116",52
"116",,125.176322155284,32.1426180367824,"117",51
"117",,125.177464729583,32.1416366846237,"118",51
"118",,125.173952890787,32.149781907541,"119",52
"119",,125.174044016344,32.1478262128819,"120",52
"120",,125.172628065372,32.148842613332,"121",52
"121",,125.171198095084,32.1496136757424,"122",52
"122",,125.171275201325,32.1478332225401,"123",52
"123",,125.170062530443,32.1486884008499,"124",52
"124",,125.168849859561,32.1496977916417,"125",52
"125",,125.168955004436,32.1475738651839,"126",52
"126",,125.167833459111,32.1486112946088,"127",52
"127",,125.167700275604,32.1465434454173,"128",51
"128",,125.168835840245,32.1459265954889,"129",51
"129",,125.167679246629,32.1449382336719,"130",51
"130",,125.169985424202,32.1468448607231,"131",52
"131",,125.171198095084,32.1460317403631,"132",52
"132",,125.170132627026,32.1449592626468,"133",51
"133",,125.172586007423,32.1469780442304,"134",52
"134",,125.17377764933,32.1460317403631,"135",52
"135",,125.172417775624,32.145092446154,"136",52
